# Step | Real Time [s] | Time [fs] | Epot/N [eV] | Ekin/N [eV] | T [K] | Etot/N [eV] | Density [g/cm^3] | Volume [A^3] | P [bar] | Pxx [bar] | Pyy [bar] | Pzz [bar] | Pyz [bar] | Pxz [bar] | Pxy [bar]
       130 6.309        130.00 -3.346e+00 3.734e-02 288.873 -3.309e+00 2.175 1.428e+03 1.749e+04 1.746e+04 1.620e+04 1.883e+04 -6.857e+02 -3.487e+02 -3.107e+02
       135 4.481        135.00 -3.346e+00 3.729e-02 288.522 -3.309e+00 2.175 1.428e+03 1.750e+04 1.744e+04 1.612e+04 1.894e+04 -5.851e+02 -4.074e+02 -2.750e+02
       140 6.553        140.00 -3.346e+00 3.713e-02 287.231 -3.309e+00 2.175 1.428e+03 1.751e+04 1.740e+04 1.612e+04 1.903e+04 -4.486e+02 -4.435e+02 -2.217e+02
       145 4.945        145.00 -3.345e+00 3.681e-02 284.810 -3.309e+00 2.175 1.428e+03 1.755e+04 1.736e+04 1.620e+04 1.909e+04 -2.861e+02 -4.526e+02 -1.569e+02
       150 4.166        150.00 -3.345e+00 3.632e-02 281.001 -3.309e+00 2.175 1.428e+03 1.760e+04 1.734e+04 1.635e+04 1.910e+04 -1.092e+02 -4.330e+02 -8.727e+01
       155 5.740        155.00 -3.344e+00 3.563e-02 275.639 -3.309e+00 2.175 1.428e+03 1.765e+04 1.734e+04 1.655e+04 1.907e+04 6.895e+01 -3.861e+02 -1.979e+01
       160 4.275        160.00 -3.343e+00 3.475e-02 268.825 -3.309e+00 2.175 1.428e+03 1.771e+04 1.737e+04 1.679e+04 1.898e+04 2.341e+02 -3.166e+02 3.895e+01
       165 3.991        165.00 -3.342e+00 3.374e-02 261.039 -3.309e+00 2.175 1.428e+03 1.777e+04 1.744e+04 1.704e+04 1.882e+04 3.716e+02 -2.306e+02 8.316e+01
       170 4.918        170.00 -3.341e+00 3.272e-02 253.128 -3.309e+00 2.175 1.428e+03 1.781e+04 1.755e+04 1.728e+04 1.860e+04 4.687e+02 -1.344e+02 1.086e+02
       175 3.989        175.00 -3.340e+00 3.182e-02 246.176 -3.309e+00 2.175 1.428e+03 1.783e+04 1.768e+04 1.750e+04 1.832e+04 5.164e+02 -3.250e+01 1.138e+02
       180 3.829        180.00 -3.340e+00 3.118e-02 241.249 -3.309e+00 2.175 1.428e+03 1.783e+04 1.780e+04 1.768e+04 1.801e+04 5.112e+02 7.286e+01 1.003e+02
       185 5.255        185.00 -3.339e+00 3.091e-02 239.118 -3.309e+00 2.175 1.428e+03 1.779e+04 1.791e+04 1.780e+04 1.767e+04 4.565e+02 1.815e+02 7.339e+01
       190 4.033        190.00 -3.340e+00 3.103e-02 240.078 -3.309e+00 2.175 1.428e+03 1.772e+04 1.798e+04 1.786e+04 1.734e+04 3.621e+02 2.939e+02 4.007e+01
       195 5.569        195.00 -3.340e+00 3.153e-02 243.937 -3.309e+00 2.175 1.428e+03 1.763e+04 1.801e+04 1.785e+04 1.703e+04 2.421e+02 4.093e+02 8.250e+00
       200 4.861        200.00 -3.341e+00 3.233e-02 250.108 -3.309e+00 2.175 1.428e+03 1.752e+04 1.800e+04 1.777e+04 1.678e+04 1.131e+02 5.229e+02 -1.450e+01
       205 6.730        205.00 -3.342e+00 3.331e-02 257.711 -3.309e+00 2.175 1.428e+03 1.740e+04 1.796e+04 1.762e+04 1.662e+04 -7.518e+00 6.252e+02 -2.217e+01
       210 6.059        210.00 -3.343e+00 3.434e-02 265.682 -3.309e+00 2.175 1.428e+03 1.729e+04 1.791e+04 1.739e+04 1.658e+04 -1.045e+02 7.019e+02 -1.220e+01
       215 5.962        215.00 -3.344e+00 3.528e-02 272.912 -3.309e+00 2.175 1.428e+03 1.722e+04 1.788e+04 1.712e+04 1.666e+04 -1.673e+02 7.356e+02 1.230e+01
       220 6.865        220.00 -3.345e+00 3.599e-02 278.395 -3.309e+00 2.175 1.428e+03 1.719e+04 1.788e+04 1.685e+04 1.684e+04 -1.917e+02 7.116e+02 4.203e+01
       225 5.951        225.00 -3.345e+00 3.637e-02 281.363 -3.309e+00 2.175 1.428e+03 1.721e+04 1.794e+04 1.661e+04 1.708e+04 -1.804e+02 6.231e+02 6.386e+01
       230 5.730        230.00 -3.345e+00 3.637e-02 281.395 -3.309e+00 2.175 1.428e+03 1.728e+04 1.806e+04 1.643e+04 1.734e+04 -1.407e+02 4.749e+02 6.502e+01
       235 6.491        235.00 -3.345e+00 3.600e-02 278.539 -3.309e+00 2.175 1.428e+03 1.738e+04 1.825e+04 1.632e+04 1.758e+04 -8.228e+01 2.832e+02 3.754e+01
       240 8.228        240.00 -3.344e+00 3.534e-02 273.402 -3.309e+00 2.175 1.428e+03 1.751e+04 1.845e+04 1.631e+04 1.776e+04 -1.499e+01 7.270e+01 -1.940e+01
       245 7.135        245.00 -3.343e+00 3.452e-02 267.052 -3.309e+00 2.175 1.428e+03 1.763e+04 1.864e+04 1.640e+04 1.785e+04 5.236e+01 -1.286e+02 -9.956e+01
       250 5.322        250.00 -3.342e+00 3.370e-02 260.741 -3.309e+00 2.175 1.428e+03 1.773e+04 1.876e+04 1.658e+04 1.783e+04 1.135e+02 -2.958e+02 -1.919e+02
       255 6.698        255.00 -3.342e+00 3.304e-02 255.597 -3.309e+00 2.175 1.428e+03 1.777e+04 1.880e+04 1.682e+04 1.770e+04 1.650e+02 -4.121e+02 -2.837e+02
       260 5.568        260.00 -3.341e+00 3.263e-02 252.465 -3.309e+00 2.175 1.428e+03 1.777e+04 1.875e+04 1.710e+04 1.747e+04 2.054e+02 -4.719e+02 -3.632e+02
       265 4.844        265.00 -3.341e+00 3.256e-02 251.884 -3.309e+00 2.175 1.428e+03 1.771e+04 1.862e+04 1.737e+04 1.716e+04 2.344e+02 -4.781e+02 -4.207e+02
       270 6.053        270.00 -3.341e+00 3.285e-02 254.108 -3.309e+00 2.175 1.428e+03 1.760e+04 1.843e+04 1.759e+04 1.680e+04 2.506e+02 -4.382e+02 -4.488e+02
       275 7.035        275.00 -3.342e+00 3.349e-02 259.095 -3.309e+00 2.175 1.428e+03 1.745e+04 1.819e+04 1.775e+04 1.642e+04 2.510e+02 -3.604e+02 -4.422e+02
       280 6.223        280.00 -3.343e+00 3.444e-02 266.472 -3.309e+00 2.175 1.428e+03 1.728e+04 1.792e+04 1.784e+04 1.608e+04 2.305e+02 -2.522e+02 -3.975e+02
       285 6.631        285.00 -3.344e+00 3.562e-02 275.549 -3.309e+00 2.175 1.428e+03 1.709e+04 1.764e+04 1.785e+04 1.580e+04 1.834e+02 -1.225e+02 -3.143e+02
       290 5.398        290.00 -3.345e+00 3.689e-02 285.366 -3.309e+00 2.175 1.428e+03 1.693e+04 1.736e+04 1.778e+04 1.564e+04 1.071e+02 1.830e+01 -1.960e+02
       295 8.826        295.00 -3.347e+00 3.810e-02 294.745 -3.309e+00 2.175 1.428e+03 1.679e+04 1.710e+04 1.766e+04 1.562e+04 4.562e+00 1.576e+02 -5.098e+01
       300 6.721        300.00 -3.348e+00 3.909e-02 302.392 -3.309e+00 2.175 1.428e+03 1.672e+04 1.688e+04 1.751e+04 1.576e+04 -1.139e+02 2.807e+02 1.083e+02
       305 7.171        305.00 -3.348e+00 3.969e-02 307.071 -3.309e+00 2.175 1.428e+03 1.671e+04 1.671e+04 1.735e+04 1.607e+04 -2.320e+02 3.721e+02 2.662e+02
       310 5.858        310.00 -3.348e+00 3.979e-02 307.861 -3.309e+00 2.175 1.428e+03 1.678e+04 1.661e+04 1.722e+04 1.651e+04 -3.314e+02 4.171e+02 4.053e+02
       315 5.439        315.00 -3.348e+00 3.935e-02 304.400 -3.309e+00 2.175 1.428e+03 1.693e+04 1.659e+04 1.715e+04 1.704e+04 -3.959e+02 4.055e+02 5.091e+02
       320 4.998        320.00 -3.347e+00 3.840e-02 297.047 -3.309e+00 2.175 1.428e+03 1.714e+04 1.664e+04 1.715e+04 1.762e+04 -4.153e+02 3.344e+02 5.637e+02
       325 6.181        325.00 -3.346e+00 3.708e-02 286.863 -3.309e+00 2.175 1.428e+03 1.739e+04 1.676e+04 1.723e+04 1.819e+04 -3.871e+02 2.104e+02 5.610e+02
       330 5.368        330.00 -3.344e+00 3.560e-02 275.415 -3.309e+00 2.175 1.428e+03 1.766e+04 1.691e+04 1.737e+04 1.869e+04 -3.157e+02 5.101e+01 5.006e+02
       335 4.768        335.00 -3.343e+00 3.418e-02 264.459 -3.309e+00 2.175 1.428e+03 1.791e+04 1.708e+04 1.756e+04 1.909e+04 -2.110e+02 -1.188e+02 3.900e+02
       340 3.660        340.00 -3.342e+00 3.304e-02 255.602 -3.309e+00 2.175 1.428e+03 1.812e+04 1.723e+04 1.778e+04 1.935e+04 -8.545e+01 -2.715e+02 2.444e+02
       345 3.773        345.00 -3.341e+00 3.232e-02 250.001 -3.309e+00 2.175 1.428e+03 1.827e+04 1.735e+04 1.798e+04 1.947e+04 4.832e+01 -3.835e+02 8.463e+01
       350 5.315        350.00 -3.341e+00 3.207e-02 248.133 -3.309e+00 2.175 1.428e+03 1.833e+04 1.742e+04 1.814e+04 1.943e+04 1.792e+02 -4.400e+02 -6.701e+01
       355 3.973        355.00 -3.341e+00 3.228e-02 249.718 -3.309e+00 2.175 1.428e+03 1.830e+04 1.743e+04 1.823e+04 1.926e+04 2.982e+02 -4.365e+02 -1.913e+02
       360 3.797        360.00 -3.341e+00 3.281e-02 253.827 -3.309e+00 2.175 1.428e+03 1.821e+04 1.739e+04 1.825e+04 1.898e+04 3.979e+02 -3.779e+02 -2.760e+02
       365 4.357        365.00 -3.342e+00 3.350e-02 259.168 -3.309e+00 2.175 1.428e+03 1.806e+04 1.735e+04 1.819e+04 1.865e+04 4.731e+02 -2.764e+02 -3.184e+02
       370 4.209        370.00 -3.343e+00 3.418e-02 264.411 -3.309e+00 2.175 1.428e+03 1.790e+04 1.734e+04 1.806e+04 1.831e+04 5.197e+02 -1.491e+02 -3.248e+02
       375 4.194        375.00 -3.343e+00 3.470e-02 268.469 -3.309e+00 2.175 1.428e+03 1.775e+04 1.739e+04 1.788e+04 1.798e+04 5.354e+02 -1.520e+01 -3.082e+02
       380 3.710        380.00 -3.344e+00 3.499e-02 270.678 -3.309e+00 2.175 1.428e+03 1.762e+04 1.752e+04 1.765e+04 1.770e+04 5.193e+02 1.081e+02 -2.841e+02
       385 5.231        385.00 -3.344e+00 3.501e-02 270.882 -3.309e+00 2.175 1.428e+03 1.753e+04 1.774e+04 1.741e+04 1.746e+04 4.723e+02 2.084e+02 -2.664e+02
       390 3.718        390.00 -3.343e+00 3.483e-02 269.451 -3.309e+00 2.175 1.428e+03 1.749e+04 1.802e+04 1.719e+04 1.726e+04 3.974e+02 2.791e+02 -2.625e+02
       395 3.708        395.00 -3.343e+00 3.454e-02 267.194 -3.309e+00 2.175 1.428e+03 1.747e+04 1.830e+04 1.702e+04 1.711e+04 2.989e+02 3.185e+02 -2.715e+02
       400 3.889        400.00 -3.343e+00 3.427e-02 265.144 -3.309e+00 2.175 1.428e+03 1.747e+04 1.850e+04 1.692e+04 1.699e+04 1.822e+02 3.279e+02 -2.855e+02
       405 3.778        405.00 -3.343e+00 3.415e-02 264.220 -3.309e+00 2.175 1.428e+03 1.745e+04 1.856e+04 1.689e+04 1.689e+04 5.341e+01 3.114e+02 -2.931e+02
       410 3.791        410.00 -3.343e+00 3.424e-02 264.917 -3.309e+00 2.175 1.428e+03 1.741e+04 1.846e+04 1.694e+04 1.683e+04 -8.077e+01 2.758e+02 -2.835e+02
       415 3.667        415.00 -3.343e+00 3.454e-02 267.196 -3.309e+00 2.175 1.428e+03 1.736e+04 1.819e+04 1.706e+04 1.683e+04 -2.123e+02 2.304e+02 -2.504e+02
       420 4.161        420.00 -3.344e+00 3.498e-02 270.616 -3.309e+00 2.175 1.428e+03 1.731e+04 1.780e+04 1.724e+04 1.689e+04 -3.304e+02 1.853e+02 -1.946e+02
       425 5.496        425.00 -3.344e+00 3.549e-02 274.530 -3.309e+00 2.175 1.428e+03 1.726e+04 1.732e+04 1.747e+04 1.700e+04 -4.220e+02 1.490e+02 -1.232e+02
       430 3.648        430.00 -3.345e+00 3.596e-02 278.208 -3.309e+00 2.175 1.428e+03 1.723e+04 1.681e+04 1.771e+04 1.716e+04 -4.732e+02 1.234e+02 -4.710e+01
       435 3.940        435.00 -3.345e+00 3.632e-02 280.951 -3.309e+00 2.175 1.428e+03 1.720e+04 1.633e+04 1.790e+04 1.735e+04 -4.726e+02 1.034e+02 2.162e+01
